DateAndTime            ,Date            ,Time        ,TOTAL_FBC               
2022-11-16 05:26:26.000,      2022-11-16,05:26:26    ,                  1392.0
2022-11-16 05:25:26.000,      2022-11-16,05:25:26    ,                  1389.0
2022-11-16 05:24:26.000,      2022-11-16,05:24:26    ,                  1385.0
2022-11-16 05:23:26.000,      2022-11-16,05:23:26    ,                  1381.0
2022-11-16 05:22:26.000,      2022-11-16,05:22:26    ,                  1377.0
2022-11-16 05:21:26.000,      2022-11-16,05:21:26    ,                  1371.0
2022-11-16 05:20:26.000,      2022-11-16,05:20:26    ,                  1367.0
2022-11-16 05:19:26.000,      2022-11-16,05:19:26    ,                  1362.0
2022-11-16 05:18:26.000,      2022-11-16,05:18:26    ,                  1359.0
2022-11-16 05:17:26.000,      2022-11-16,05:17:26    ,                  1356.0
2022-11-16 05:16:26.000,      2022-11-16,05:16:26    ,                  1354.0
2022-11-16 05:15:26.000,      2022-11-16,05:15:26    ,                  1349.0
2022-11-16 05:14:26.000,      2022-11-16,05:14:26    ,                  1344.0
2022-11-16 05:13:26.000,      2022-11-16,05:13:26    ,                  1339.0
2022-11-16 05:12:26.000,      2022-11-16,05:12:26    ,                  1334.0
2022-11-16 05:11:26.000,      2022-11-16,05:11:26    ,                  1329.0
2022-11-16 05:10:26.000,      2022-11-16,05:10:26    ,                  1324.0
2022-11-16 05:09:26.000,      2022-11-16,05:09:26    ,                  1320.0
2022-11-16 05:08:26.000,      2022-11-16,05:08:26    ,                  1317.0
2022-11-16 05:07:26.000,      2022-11-16,05:07:26    ,                  1314.0
2022-11-16 05:06:26.000,      2022-11-16,05:06:26    ,                  1310.0
2022-11-16 05:05:26.000,      2022-11-16,05:05:26    ,                  1304.0
2022-11-16 05:04:26.000,      2022-11-16,05:04:26    ,                  1300.0
2022-11-16 05:03:26.000,      2022-11-16,05:03:26    ,                  1294.0
2022-11-16 05:02:26.000,      2022-11-16,05:02:26    ,                  1290.0
2022-11-16 05:01:26.000,      2022-11-16,05:01:26    ,                  1285.0
2022-11-16 05:00:26.000,      2022-11-16,05:00:26    ,                  1280.0
2022-11-16 04:59:26.000,      2022-11-16,04:59:26    ,                  1276.0
2022-11-16 04:58:26.000,      2022-11-16,04:58:26    ,                  1272.0
2022-11-16 04:57:26.000,      2022-11-16,04:57:26    ,                  1268.0
2022-11-16 04:56:26.000,      2022-11-16,04:56:26    ,                  1266.0
2022-11-16 04:55:26.000,      2022-11-16,04:55:26    ,                  1262.0
2022-11-16 04:54:26.000,      2022-11-16,04:54:26    ,                  1258.0
2022-11-16 04:53:26.000,      2022-11-16,04:53:26    ,                  1255.0
2022-11-16 04:52:26.000,      2022-11-16,04:52:26    ,                  1252.0
2022-11-16 04:51:26.000,      2022-11-16,04:51:26    ,                  1251.0
2022-11-16 04:50:26.000,      2022-11-16,04:50:26    ,                  1249.0
2022-11-16 04:49:26.000,      2022-11-16,04:49:26    ,                  1248.0
2022-11-16 04:48:26.000,      2022-11-16,04:48:26    ,                  1245.0
2022-11-16 04:47:26.000,      2022-11-16,04:47:26    ,                  1240.0
2022-11-16 04:46:26.000,      2022-11-16,04:46:26    ,                  1235.0
2022-11-16 04:45:26.000,      2022-11-16,04:45:26    ,                  1230.0
2022-11-16 04:44:26.000,      2022-11-16,04:44:26    ,                  1227.0
2022-11-16 04:43:26.000,      2022-11-16,04:43:26    ,                  1223.0
